데이터 명,데이터 단위,데이터 설명
모델명,NA,센서 모델명
시리얼,NA,센서 시리얼 번호
미세먼지2.5(초미세먼지),㎍/㎥,2분 평균 초미세먼지 표현범위 → 0 ～ 1500 (관측값)
미세먼지10(미세먼지),㎍/㎥,2분 평균 미세먼지 표현범위 → 0 ～ 1500 (관측값)
기온,℃,2분 평균 기온 표현범위 →  500 ～ 1800 ((관측값 ＋ 100) × 10)
상대습도,%,2분 평균 상대습도 표현범위 → 0 ～ 100 (관측값)
풍향,m/s,2분 평균 풍향 표현범위 →    1 ～ 3599 (관측값 × 10)
풍속,m/s,2분 평균 풍속 표현범위 →    1 ～ 1000 (관측값 × 10)
돌풍 풍향,m/s,2분 돌풍 풍향 표현범위 →    0 ～ 3599 (관측값 × 10)
돌풍 풍속,m/s,2분 돌풍 풍속 표현범위 →    0 ～ 1000 (관측값 × 10)
조도,lux,2분 평균 조도 표현범위 →    0 ～ 120000 (관측값)
자외선,UV,2분 평균 자외선 표현범위 →    0 ～ 160 (관측값 × 10)
소음,dB,2분 평균 소음 표현범위 →    35 ～ 85 (관측값)
진동(x),mm/s,2분 평균 진동(x) 표현범위 →    0 ～ 1600 (관측값 × 100)
진동(y),mm/s,2분 평균 진동(y) 표현범위 →    0 ～ 1600 (관측값 × 100)
진동(z),mm/s,2분 평균 진동(z) 표현범위 →    0 ～ 1600 (관측값 × 100)
진동(x) 최대,mm/s,2분 최대 진동(x) 표현범위 →    0 ～ 1600 (관측값 × 100)
진동(y) 최대,mm/s,2분 최대 진동(y) 표현범위 →    0 ～ 1600 (관측값 × 100)
진동(z) 최대,mm/s,2분 최대 진동(z) 표현범위 →    0 ～ 1600 (관측값 × 100)
흑구 온도,℃,2분 평균 흑구온도 표현범위 →  500 ～ 1800 ((관측값 ＋ 100) × 10)
pm25 보정,㎍/㎥,초미세먼지 국가 관측망 기준 보정 데이터
pm10 보정,㎍/㎥,미세먼지 국가 관측망 기준 보정 데이터
측정시간,yyyymmddhi,년월일시분
